code,name,level
2052502004,Aquaculture,Activity
2052503001,Household Goods Manufacturer,Activity
20525030,Household & Personal Products,Industry
2052503002,Personal Goods Manufacturer,Activity
2052504001,Packaged or Frozen Food Manufacturer,Activity
20525040,Packaged Foods,Industry
2052504002,Health Supplement Manufacturer,Activity
2052504003,Dairy Product Manufacturer,Activity
2054001001,Educational Services (Business to Consumer),Activity
20540010,Education & Training Services,Industry
2054001002,Training Services (Business to Business),Activity
2055001001,Discount Stores,Activity
20550010,Discount Stores,Industry
2055002001,Food Distribution,Activity
20550020,Food Distribution,Industry
2055003001,Grocery Stores,Activity
20550030,Grocery Stores,Industry
2056001001,Tobacco Products Manufacturer,Activity
20560010,Tobacco,Industry
2056001002,Wholesale or Retail of Tobacco and Tobacco Products,Activity
2061001001,Research and Development of Rare Diseases,Activity
20610010,Biotechnology,Industry
2061001002,Diversified Biotechnology,Activity
2061001003,Ribonucleic Acid (RNA) Therapy,Activity
2061001004,Gene Editing Therapy,Activity
2062001001,Drug Manufacturers - General,Activity
20620010,Drug Manufacturers - General,Industry
2062002001,Drug Manufacturers - Specialty & Generic,Activity
20620020,Drug Manufacturers - Specialty & Generic,Industry
2063001001,Healthcare Plans,Activity
20630010,Healthcare Plans,Industry
2064501001,Hospital Inpatient Services,Activity
20645010,Medical Care Facilities,Industry
2064501002,Healthcare Facility Ancillary Services,Activity
2064501003,Long-Term Care Center,Activity
2064501004,Outpatient Services,Activity
2064502001,Pharmaceutical Retailer,Activity
20645020,Pharmaceutical Retailers,Industry
2064503001,Decision and Risk Analysis,Activity
20645030,Health Information Services,Industry
2064503002,Enterprise Systems,Activity
2064503003,Medical Records Systems,Activity
2064503004,Outcome Management,Activity
2064503099,Other Healthcare Technology Systems,Activity
2065001001,Diagnostic and Testing Equipment,Activity
20650010,Medical Devices,Industry
2065001002,Medical Devices,Activity
2065002001,Dental Instrument Manufacturer,Activity
20650020,Medical Instruments & Supplies,Industry
2065002002,Medical Tools and Equipment Manufacturer,Activity
2065002003,Ophthalmic Goods Manufacturer,Activity
2066001001,Testing and Diagnosis Center,Activity
20660010,Diagnostics & Research,Industry
2066001002,Medical Contract Research Services,Activity
2067001001,Medical Devices and Instruments Distributor,Activity
20670010,Medical Distribution,Industry
2067001002,Drug Distributor,Activity
2067001099,Other Healthcare Products Distributor,Activity
2071001001,"Cogeneration of Heating, Cooling, and Power - Gas",Activity
20710010,Utilities - Independent Power Producers,Industry
2071001002,Heating and Cooling Producers - Gas,Activity
2071001003,Heating and Cooling Producers - Waste Heat,Activity
2071001004,District Heating and Cooling Distributors,Activity
2071002001,Electricity Generator - Solar Photovoltaic Technology,Activity
20710020,Utilities - Renewable,Industry
2071002002,Electricity Generator - Concentrated Solar Power (CSP) Technology,Activity
2071002003,Electricity Generator - Wind Power,Activity
2071002004,Electricity Generator - Ocean Energy Technologies,Activity
2071002005,Electricity Generator - Hydropower,Activity
2071002006,Electricity Generator - Geothermal Energy,Activity
2071002007,Electricity Generator - Bioenergy,Activity
2071002008,Electricity Generator - Renewable Non-Fossil Gaseous and Liquid Fuels,Activity
2071002009,Thermal Energy Storage,Activity
2071002010,"Cogeneration of Heating, Cooling, and Power - Solar Energy",Activity
2071002011,"Cogeneration of Heating, Cooling, and Power - Geothermal Energy",Activity
2071002012,"Cogeneration of Heating, Cooling, and Power - Bioenergy",Activity
2071002013,"Cogeneration of Heating, Cooling, and Power - Renewable Non-Fossil Gaseous an...",Activity
2071002014,Heating and Cooling Producers - Solar Thermal Heating,Activity
2071002015,Heating and Cooling Producers - Geothermal,Activity
2071002016,Heating and Cooling Producers - Bioenergy,Activity
2071002017,Heating and Cooling Producers - Renewable Non-Fossil Gaseous and Liquid Fuels,Activity
2072001001,"Water Collection, Treatment and Supplier",Activity
20720010,Utilities - Regulated Water,Industry
2072001002,"Waste Water Collection, Treatment and Supplier",Activity
2072001003,"Water Collection, Treatment and Supplier - Renewal",Activity
2072001004,"Waste Water Collection, Treatment and Supplier - Renewal",Activity
2072002001,Electricity Generator - Gas,Activity
20720020,Utilities - Regulated Electric,Industry
2072002002,Electricity Generator - Coal,Activity
2072002003,Electricity Generator - Oil,Activity
2072002004,Electricity Generator - Nuclear,Activity
2072002005,Electricity Generator - Other Non Renewable Sources,Activity
2072002006,Electricity Transmission and Distributor,Activity
2072002007,Electricity Storage,Activity
2072003001,Hydrogen Storage,Activity
20720030,Utilities - Regulated Gas,Industry
2072003002,Renewable and Low-Carbon Gases Transmission and Distributor,Activity
2072003003,Non-Renewable Gases Transmission and Distributor,Activity
2072004001,Utilities - Diversified,Activity
20720040,Utilities - Diversified,Industry
3081001001,Telecom Service Provider,Activity
30810010,Telecom Services,Industry
3081001002,Internet Service Provider,Activity
3082001001,Advertising,Activity
30820010,Advertising Agencies,Industry
3082001002,Internet Advertising,Activity
3082001003,Marketing Agencies,Activity
3082002001,Print Media,Activity
30820020,Publishing,Industry
3082002002,Electronic Media,Activity
3082003001,Television Broadcasting,Activity
30820030,Broadcasting,Industry
3082003002,Radio Broadcasting,Activity
3082004001,Television and Film Production and Distributor,Activity
30820040,Entertainment,Industry
3082004002,Theater,Activity
3082004003,Theme Park,Activity
3082004004,Sports Team,Activity
3082004005,Sound Recorder and Publisher,Activity
3082004006,Cable Service Provider,Activity
3082004007,Subscription Based Television Provider,Activity
3083001001,Social Content Provider,Activity
30830010,Internet Content & Information,Industry
3083001002,Internet Navigation and Information Services,Activity
3083002001,Electronic Gaming & Multimedia,Activity
30830020,Electronic Gaming & Multimedia,Industry
3091001001,Onshore Oil and Gas Drilling,Activity
30910010,Oil & Gas Drilling,Industry
3091001002,Offshore Oil and Gas Drilling,Activity
3091002001,Oil Exploration and Production,Activity
30910020,Oil & Gas E&P,Industry
3091002002,Gas Exploration and Production,Activity
3091003001,Oil & Gas Integrated,Activity
30910030,Oil & Gas Integrated,Industry
3091004001,Oil and Gas Storage,Activity
30910040,Oil & Gas Midstream,Industry
3091004002,Oil and Gas Transportation,Activity
3091004003,CO2 Transportation,Activity
3091004004,Underground Permanent Geological Storage of CO2,Activity
3091004005,Royalties from Oil and Gas,Activity
3091005001,Oil and Gas Refining,Activity
30910050,Oil & Gas Refining & Marketing,Industry
3091005002,Oil and Gas Marketing and Distribution,Activity
3091006001,Oilfield Equipment,Activity
30910060,Oil & Gas Equipment & Services,Industry
3091006002,Oil and Gas Support Services,Activity
3092001001,Thermal Coal,Activity
30920010,Thermal Coal,Industry
3092002001,Uranium,Activity
30920020,Uranium,Industry
3101001001,Weapons and Ammunition Manufacturer,Activity
31010010,Aerospace & Defense,Industry
3101001002,Ship and Marine Equipment Manufacturer,Activity
3101001003,Retrofitting of Inland Water Transport,Activity
3101001004,Retrofitting of Sea and Coastal Water Transport,Activity
3101001005,Air and Spacecraft Manufacturer,Activity
3101001006,Defense Services,Activity
3102001001,Printing Services,Activity
31020010,Specialty Business Services,Industry
3102001002,Storage Provider,Activity
3102001003,Leasing or Licensing of Intellectual Property,Activity
3102001004,"Accounting, Audit and Tax Services",Activity
3102001005,Business Legal Services,Activity
3102001099,Business Support Services,Activity
3102002001,Consulting Services,Activity
31020020,Consulting Services,Industry
3102002002,"Close to Market Research, Development and Innovation",Activity
3102003001,Rental and Leasing of Transport Equipment,Activity
31020030,Rental & Leasing Services,Industry
3102003002,Rental and Leasing of Machinery and Equipment,Activity
3102003003,Rental and Leasing of Medical Equipment,Activity
3102003004,Rental and Leasing of Cars and Trucks,Activity
3102003005,Rental and Leasing of Aircrafts,Activity
3102003099,Rental and Leasing of Other Equipment,Activity
3102004001,Security Services Provider,Activity
31020040,Security & Protection Services,Industry
3102004002,Correction Facility,Activity
3102004003,Immigration Detention,Activity
3102005001,Permanent Staffing Services,Activity
31020050,Staffing & Employment Services,Industry
3102005002,Temporary Staffing Services,Activity
3103001001,Conglomerates,Activity
31030010,Conglomerates,Industry
3104001001,Engineering Services,Activity
31040010,Engineering & Construction,Industry
3104001002,Construction of Non Residential Buildings,Activity
3104001003,Renovation of Non Residential Buildings,Activity
3104001004,Infrastructure Enabling Low-Carbon Water Transportation,Activity
3104001005,Infrastructure Enabling Low-Carbon Road Transportation,Activity
3104001006,Infrastructure for Rail Transport Constructors,Activity
3104001007,Infrastructure Enabling Low-Carbon Airport,Activity
3104001008,Infrastructure for Personal Mobility and Cycle Logistics,Activity
3104001009,Charging Stations for Electric Vehicles in Buildings Service Providers,Activity
3104001010,Professional Services Related to Energy Performance of Buildings,Activity
3104001099,Other Engineering Projects,Activity
3104002001,"Highway, Streets, and Roads Infrastructure Services",Activity
31040020,Infrastructure Operations,Industry
3104002002,Parking Services,Activity
3104003001,Energy Efficiency Equipment for Buildings Manufacturer,Activity
31040030,Building Products & Equipment,Industry
3104003002,Energy Efficiency Equipment Services,Activity
3104003003,Instruments and Devices for Measuring Energy Performance of Buildings,Activity
3104003004,"Heating, Ventilation, and Air Conditioning (HVAC) Manufacturer",Activity
3104003005,Security and Protection Device Manufacturer,Activity
3104003099,Other Building Products and Equipment,Activity
3105001001,Construction Equipment Manufacturer,Activity
31050010,Farm & Heavy Construction Machinery,Industry
3105001002,Mining Equipment Manufacturer,Activity
3105001003,Truck Manufacturer,Activity
3105001004,Low Carbon Technology Heavy Duty Vehicle Manufacturer,Activity
3105001005,Agricultural Machinery Manufacturer,Activity
3106001001,Machinery and Equipment Distributor,Activity
31060010,Industrial Distribution,Industry
3106001002,Building Products Distributor,Activity
3107001001,Stationery Products Manufacturer,Activity
31070010,Business Equipment & Supplies,Industry
3107001002,Office Equipment Manufacturer,Activity
3107002001,Machines Parts Manufacturer,Activity
31070020,Specialty Industrial Machinery,Industry
3107002002,Textile and Apparel Machinery Manufacturer,Activity
3107002003,Food Processing Machinery Manufacturer,Activity
3107002004,Natural Gas Energy Equipment Manufacturer,Activity
3107002005,Nuclear Energy Equipment Manufacturer,Activity
3107002006,Hydrogen Equipment Manufacturer,Activity
3107002007,Renewable Energy Technologies Manufacturer,Activity
3107002008,Renewable Energy Technologies Services,Activity
3107002098,Heavy Industrial Machinery Manufacturer,Activity
3107002099,Other Low Carbon Technologies Manufacturer,Activity
3107003001,Metal Fabrication,Activity
31070030,Metal Fabrication,Industry
3107004001,Waste Recycling Machinery Manufacturer,Activity
31070040,Pollution & Treatment Controls,Industry
3107004002,Water Purification Systems Manufacturer,Activity
3107004003,Air Filtration Systems Manufacturer,Activity
3107004004,"Research, Development and Innovation for Direct Air Capture of CO2",Activity
3107005001,Tools & Accessories,Activity
31070050,Tools & Accessories,Industry
3107006001,Electric and Optical Cable Manufacturer,Activity
31070060,Electrical Equipment & Parts,Industry
3107006002,Wiring Devices Manufacturer,Activity
3107006003,Electrical Transformer Manufacturer,Activity
3107006004,Batteries Manufacturer,Activity
3107006005,Electric Heat Pumps Services,Activity
3107006099,Other Electrical Equipment Manufacturer,Activity
3108001001,Airport Support Services,Activity
31080010,Airports & Air Services,Industry
3108001002,Helicopters and Charter Services,Activity
3108001099,Other Airline Services,Activity
3108002001,Passenger Air Transportation,Activity
31080020,Airlines,Industry
3108002002,Freight Air Transportation,Activity
3108003001,Passenger Interurban Rail Transportation,Activity
31080030,Railroads,Industry
3108003002,Freight Rail Transportation,Activity
3108003003,Railway Locomotives and Equipment Manufacturer,Activity
3108003004,Transportation by Personal Mobility Devices,Activity
3108003005,Operation of Urban and Suburban Road Passenger Transport,Activity
3108003006,"Transportation by Motorbikes, Passenger Cars, and Light Commercial Vehicles",Activity
3108004001,Inland Passenger Water Transportation,Activity
31080040,Marine Shipping,Industry
